FID,region_id,Region,area_km,long,lat
0,1,Aleutian Islands,34613.20446,-165.7029466,54.89063999
1,2,Arctic,221190.116,-152.2289514,69.48570018
2,3,Bristol Bay,100712.0282,-156.8156351,59.27830435
3,4,Chignik,6587.425615,-158.3312972,56.42996621
4,5,Copper River,68706.61795,-144.1310326,61.59123256
5,6,Kodiak,18061.65856,-153.8387369,57.69722324
6,7,Kotzebue,122928.7358,-160.4340211,67.11033291
7,8,Kuskokwim,154168.9909,-158.3495689,61.44702137
8,9,Cook Inlet,106864.6537,-150.3245422,61.52754546
9,10,Norton Sound,54315.84725,-163.4272006,64.69021115
10,11,Prince William Sound,13805.44921,-147.2635315,60.80922922
11,12,Southeast,210906.1803,-133.8670706,58.21201159
12,13,Yukon,858272.0874,-144.8103742,64.53273213
